"Compound_Name"	"X38713.mzXML"	"X11713.17.F.17H.mzML"	"X38906.mzXML"	"X11713.18.F.18C.mzML"	"X39048.mzXML"	"X18NAVY32_V2_20180416.mzML"	"Fecal.1.8MeOH.2H2O_RA3_81.mzML"	"Fecal.2.6MeOH.4H2O_RB5_137.mzML"	"X11713.5.F.5E.mzML"	"Fecal.1.5EtOH.5H2O_RA10_152.mzML"	"Fecal.2.5EtOH.5H2O_RB10_165.mzML"	"X11713.18.F.18B.mzML"	"X16NAVY05_V2_20160228_40772.mzML"	"Fecal.1.MeOH_RA1_33.mzML"	"BP000096877_p.mzML"	"BP000096925_n.mzML"	"X38901.mzXML"	"Fecal.1.ACN_RA8_49.mzML"	"BP000096941_n.mzML"	"X38865.mzXML"	"X38896.mzXML"	"BP000096925_p.mzML"	"BP000098355_n.mzML"	"Fecal.1.5MeOH.5ACN_RA7_117.mzML"	"Fecal.2.5MeOH.5H2O_RB6_167.mzML"	"BP000098371_p.mzML"	"BP000097077_n.mzML"	"X38826.mzXML"	"X39025.mzXML"	"X38755.mzXML"	"X16NAVY15_V1_20161113.mzML"	"X11713.16.F.16F.mzML"	"BP000098403_n.mzML"	"BP000096853_n.mzML"	"X17NAVY24_V1_20170911.mzML"	"X11713.5.F.5D.mzML"	"BP000096989_p.mzML"	"Fecal.1.8MeOH.2H2O_RA3_83.mzML"	"X18NAVY30_V1_20180128.mzML"	"X16NAVY05_V1_20160204.mzML"	"X11713.17.F.17F.mzML"	"X38754.mzXML"	"BP000098363_p.mzML"	"X38837.mzXML"	"X38801.mzXML"	"X38775.mzXML"	"Fecal.2.7MeOH.3H2O_RB4_105.mzML"	"X15NAVY03_V2_20151213.mzML"	"X11713.14.F.14C.mzML"	"X38693.mzXML"	"Fecal.1.9MeOH.1H2O_RA2_67.mzML"	"X16NAVY13_V2_20161009_180702134755.mzML"	"X38913.mzXML"	"X39138.mzXML"	"X11713.18.F.18G.mzML"	"X11713.18.F.18D.mzML"	"BP000098499_p.mzML"	"X38997.mzXML"	"Fecal.1.7MeOH.3H2O_RA4_100.mzML"	"X16NAVY05_V1_14_20160207.mzML"	"Fecal.1.7ACN.3H2O_RA9_159.mzML"	"X38783.mzXML"	"X16NAVY04_V1_20161130.mzML"	"BP000096941_p.mzML"	"X72847.mzML"	"Fecal.1.6MeOH.4H2O_RA5_134.mzML"	"BP000097153_p.mzML"	"BP000098379_n.mzML"	"X38894.mzXML"	"X39051.mzXML"	"BP000097061_n.mzML"	"BP000098427_p.mzML"	"X38766.mzXML"	"X38957.mzXML"	"Fecal.2.6MeOH.4H2O_RB5_136.mzML"	"X38909.mzXML"	"BP000097185_n.mzML"	"Fecal.1.9MeOH.1H2O_RA2_66.mzML"	"X72850.mzML"	"Fecal.2.MeOH_RB1_37.mzML"	"Fecal.2.MeOH_RB1_39.mzML"	"X18NAVY32_V2_20180413.mzML"	"Fecal.2.7ACN.3H2O_RB9_171.mzML"	"BP000096893_p.mzML"	"BP000096853_p.mzML"	"Fecal.2.6MeOH.4H2O_RB5_138.mzML"	"Fecal.2.5MeOH.5H2O_RB6_168.mzML"	"X38989.mzXML"	"X38874.mzXML"	"X17NAVY18_V1_20170212.mzML"	"X38848.mzXML"	"X11713.17.F.17B.mzML"	"BP000098363_n.mzML"	"X38996.mzXML"	"BP000096973_p.mzML"	"X38756.mzXML"	"X38814.mzXML"	"Fecal.1.5MeOH.5H2O_RA6_155.mzML"	"X38774.mzXML"	"X39111.mzXML"	"X18NAVY27_V1_20180121.mzML"	"X11713.14.F.14B.mzML"	"X38991.mzXML"	"X11713.20.F.20C.mzML"	"Fecal.2.7MeOH.3H2O_RB4_104.mzML"	"X39027.mzXML"	"X17NAVY24_V1_20170910.mzML"	"X38855.mzXML"	"X38803.mzXML"	"BP000098467_p.mzML"	"X15NAVY03_V1_20151123.mzML"	"Fecal.1.5MeOH.5ACN_RA7_116.mzML"	"BP000096861_n.mzML"	"X38787.mzXML"	"X16NAVY05_V1_20160207.mzML"	"X11713.18.F.18A.mzML"	"X38998.mzXML"	"X11713.24.F.24A.mzML"	"X38812.mzXML"	"BP000098483_p.mzML"	"X38723.mzXML"	"BP000096965_n.mzML"	"X39128.mzXML"	"X11713.14.F.14A.mzML"	"X38959.mzXML"	"Fecal.1.7MeOH.3H2O_RA4_101.mzML"	"X17NAVY18_V1_20170213.mzML"	"X38698.mzXML"	"Fecal.1.5EtOH.5H2O_RA10_153.mzML"	"Fecal.2.7ACN.3H2O_RB9_172.mzML"	"X39109.mzXML"	"X38748.mzXML"	"X38961.mzXML"	"X11713.5.F.5A.mzML"	"X15NAVY03_V2_20151211.mzML"	"X18NAVY32_V2_20180415.mzML"	"Fecal.2.ACN_RB8_53.mzML"	"BP000096845_n.mzML"	"X11713.20.F.20D.mzML"	"X38993.mzXML"	"X11713.17.F.17E.mzML"	"Fecal.1.5EtOH.5H2O_RA10_151.mzML"	"X39110.mzXML"	"X38822.mzXML"	"X38745.mzXML"	"X16NAVY13_V1_20160917_180702233748.mzML"	"X38949.mzXML"	"X38697.mzXML"	"X17NAVY18_V1_20170210.mzML"	"X38954.mzXML"	"X38953.mzXML"	"BP000096909_n.mzML"	"X18NAVY32_V1_20180323.mzML"	"X38915.mzXML"	"Fecal.2.7MeOH.3H2O_RB4_106.mzML"	"BP000098435_n.mzML"	"Fecal.2.5MeOH.5ACN_RB7_121.mzML"	"X38861.mzXML"	"X39050.mzXML"	"X39136.mzXML"	"Fecal.2.8MeOH.2H2O_RB3_85.mzML"	"X38853.mzXML"	"BP000098499_n.mzML"	"BP000097005_n.mzML"	"X39108.mzXML"	"BP000096861_p.mzML"	"X38825.mzXML"	"Fecal.1.6MeOH.4H2O_RA5_133.mzML"	"X38893.mzXML"	"X38869.mzXML"	"X11713.5.F.5B.mzML"	"X39132.mzXML"	"X38784.mzXML"	"X17NAVY18_V2_20170305.mzML"	"Fecal.2.3ACN.3IPA.2H2O_RB11_204.mzML"	"BP000097077_p.mzML"	"BP000097169_n.mzML"	"BP000097153_n.mzML"	"X18NAVY27_V2_20180209.mzML"	"X39120.mzXML"	"X38829.mzXML"	"X72846.mzML"	"BP000096909_p.mzML"	"X11713.20.F20B.mzML"	"BP000098387_p.mzML"	"X38832.mzXML"	"X11713.13.F.13B.mzML"	"BP000096989_n.mzML"	"X16NAVY13_V2_20161008.mzML"	"X16NAVY15_V2_20161203.mzML"	"BP000098371_n.mzML"	"Fecal.1.MeOH_RA1_35.mzML"	"X39141.mzXML"	"X38844.mzXML"	"X38788.mzXML"	"BP000097029_p.mzML"	"BP000096845_p.mzML"	"X11713.24.F.24D.mzML"	"BP000097021_n.mzML"	"BP000097021_p.mzML"	"X11713.13.F.13E.mzML"	"X39127.mzXML"	"X11713.13.F.13A.mzML"	"BP000096965_p.mzML"	"BP000098379_p.mzML"	"BP000098403_p.mzML"	"X72844.mzML"	"Fecal.1.5MeOH.5H2O_RA6_157.mzML"	"Fecal.1.3ACN.3IPA.2H2O_RA11_200.mzML"	"Fecal.1.MeOH_RA1_34.mzML"	"X39147.mzXML"	"X38945.mzXML"	"X38711.mzXML"	"X17NAVY24_V2_20171001.mzML"	"Fecal.1.7ACN.3H2O_RA9_161.mzML"	"Fecal.1.5MeOH.5H2O_RA6_156.mzML"	"BP000097005_p.mzML"	"X11713.5.F.5F.mzML"	"X11713.16.F.16E.mzML"	"X15NAVY02_V1_20151119.mzML"	"BP000098387_n.mzML"	"X16NAVY15_V2_20161205.mzML"	"Fecal.2.8MeOH.2H2O_RB3_86.mzML"	"X17NAVY24_V1_20170908.mzML"	"X11713.17.F.17A.mzML"	"X15NAVY03_V2_20151212.mzML"	"X38714.mzXML"	"X38947.mzXML"	"X38903.mzXML"	"X17NAVY24_V2_20171002.mzML"	"X38946.mzXML"	"X18NAVY30_V2_20180219.mzML"	"BP000098451_p.mzML"	"BP000097029_n.mzML"	"BP000097185_p.mzML"	"BP000098435_p.mzML"	"X11713.16.F.16A.mzML"	"X16NAVY15_V1_20161112.mzML"	"Fecal.2.7ACN.3H2O_RB9_173.mzML"	"X11713.16.F.16C.mzML"	"X11713.13.F.13D.mzML"	"X11713.20.F.20E.mzML"	"Fecal.2.5EtOH.5H2O_RB10_163.mzML"	"Fecal.2.8MeOH.2H2O_RB3_87.mzML"	"X38944.mzXML"	"Fecal.2.ACN_RB8_54.mzML"	"Fecal.1.5MeOH.5ACN_RA7_118.mzML"	"X18NAVY30_V2_20180218.mzML"	"X11713.17.F.17G.mzML"	"X38802.mzXML"	"X38790.mzXML"	"Fecal.2.ACN_RB8_55.mzML"	"BP000098467_n.mzML"	"X11713.15.F.15H.mzML"	"Fecal.1.6MeOH.4H2O_RA5_132.mzML"	"BP000098483_n.mzML"	"X39113.mzXML"	"BP000097169_p.mzML"	"X11713.5.F.5C.mzML"	"BP000098427_n.mzML"	"X38719.mzXML"	"X18NAVY30_V1_20180125.mzML"	"X17NAVY18_V2_20170306.mzML"	"dhmc_8_10.mzML"	"Fecal.1.3ACN.3IPA.2H2O_RA11_199.mzML"	"X11713.13.F.13C.mzML"	"X11713.16.F.16B.mzML"	"X11713.16.F.16D.mzML"	"X38716.mzXML"	"X38827.mzXML"	"Fecal.2.3ACN.3IPA.2H2O_RB11_203.mzML"	"BP000096877_n.mzML"	"X38992.mzXML"	"X38727.mzXML"	"X15NAVY02_V1_20161122.mzML"	"BP000098339_p.mzML"	"X11713.24.F.24B.mzML"	"X11713.20.F.20A.mzML"	"X72852.mzML"	"X38866.mzXML"	"Fecal.2.5MeOH.5H2O_RB6_169.mzML"	"X11713.15.F.15D.mzML"	"X11713.17.F.17C.mzML"	"X39090.mzXML"	"BP000097061_p.mzML"	"X39105.mzXML"	"mayo_1_10.mzML"	"Fecal.2.MeOH_RB1_38.mzML"	"X16NAVY04_V1_20160128.mzML"	"BP000098451_n.mzML"	"X38758.mzXML"	"Fecal.1.7MeOH.3H2O_RA4_102.mzML"	"X11713.15.F.15F.mzML"	"Fecal.1.9MeOH.1H2O_RA2_65.mzML"	"BP000098355_p.mzML"	"X15NAVY02_V1_20151121.mzML"	"X38902.mzXML"	"BP000096957_p.mzML"	"Fecal.1.8MeOH.2H2O_RA3_82.mzML"	"X38885.mzXML"	"BP000096893_n.mzML"	"X38948.mzXML"	"Fecal.1.ACN_RA8_51.mzML"	"Fecal.1.7ACN.3H2O_RA9_160.mzML"	"X38730.mzXML"	"BP000096973_n.mzML"	"BP000096957_n.mzML"	"Fecal.2.5MeOH.5ACN_RB7_122.mzML"	"X16NAVY15_V2_20161202.mzML"	"X17NAVY18_V2_20170303.mzML"	"X38875.mzXML"	"Fecal.2.3ACN.3IPA.2H2O_RB11_205.mzML"	"X72843.mzML"	"X39143.mzXML"	"X38847.mzXML"	"X39086.mzXML"	"BP000098339_n.mzML"	"X15NAVY02_V2_20151212.mzML"	"Fecal.2.5MeOH.5ACN_RB7_120.mzML"	"X18NAVY27_V1_20180122.mzML"	"X39112.mzXML"	"Fecal.1.ACN_RA8_50.mzML"	"Fecal.2.5EtOH.5H2O_RB10_164.mzML"	"X15NAVY03_V1_20151122.mzML"	"X11713.18.F.18F.mzML"	"X38721.mzXML"	"Fecal.1.3ACN.3IPA.2H2O_RA11_201.mzML"
"URSODEOXYCHOLATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7839990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5024390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12527800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"URSODEOXYCHOLATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37247100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65747400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEOXYCHOLATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	203454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEOXYCHOLATE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Spectral Match to Lithocholic acid from NIST14"	0	0	0	0	0	1833458	4972050	6008920	0	2455950	5392870	0	0	4624440	0	0	0	947402	0	0	0	0	0	4594700	4561790	0	0	0	0	0	1572100	0	0	0	564999	0	0	4703680	1091730	0	0	0	0	0	0	0	31996350	0	0	36880400	5997480	1162700	0	0	0	0	0	0	3308130	0	3962160	0	1125950	0	0	2686960	0	0	0	0	0	0	0	0	9516860	0	0	4539520	135845	9711810	18206400	1791170	12632951	0	0	18602390	5828940	0	0	658813	0	0	0	0	0	0	0	92806200	0	0	868584	0	0	0	4419800	0	898488	0	0	0	151341	5082710	0	0	0	0	0	0	0	0	0	0	0	0	0	3181550	208195	0	2389120	13937281	0	0	0	0	218276	3154550	808731	0	0	0	0	2956540	23306800	0	0	1060250	0	0	1391580	0	0	0	1940110	0	13479640	0	20137008	0	0	0	12549987	0	0	0	0	0	0	2168450	0	0	0	0	0	351644	229661084	0	0	0	9482350	0	0	0	0	0	0	0	0	0	940448	1264960	0	2654620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1525820	93962480	3867750	0	0	0	591984	5479590	919721	0	0	0	0	0	0	8683059	634060	0	207152	0	0	0	0	0	1322510	0	0	0	0	0	0	197965571	0	0	0	3533340	37411948	0	1836320	6145360	443641	0	0	0	1315470	0	0	1927090	0	0	0	0	0	0	674697	557999	0	4861950	0	0	0	0	0	15751652	0	0	0	707331	0	0	0	0	0	2283090	0	0	0	0	0	0	14789425	23309200	0	0	4565800	0	4754560	0	0	0	0	156602610	0	0	0	884964	3713060	0	0	0	257247483	1056570	612996	0	13359492	0	0	0	0	0	157899	17073620	2370800	0	1082450	93090440	0	0	0	3972190
"3a-hydroxy-5b-cholan-24-oate"	0	0	0	0	0	0	0	0	0	0	274757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266024	0	0	0	0	0	0	131357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	480232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	643008	0	0	0	0	1024880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	420519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"\"(R)-4-((3R,5S,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-7,12-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67665310	0	0	36241990	0	0	0	0	0	0	0	0	5096330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13857600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14744000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35939000	0	0	0	0	0	0	0	0	1744190	0	0	4611100	0	0	0	1837800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12078900	21716800	0	0	25082280	0	0	0	0	0	0	1413480	0	0	0	0	0	0	15821700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7362000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9954390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31544000	0	0	0	0	0	0	0	0	0	5578380	0	0	0	0	0	0
"\"(R)-4-((8S,9S,10R,13R,14S,17R)-10,13-dimethyl-3-oxo-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	0	0	0	0	0	407930	0	847949	0	0	599832	0	0	0	0	0	0	0	0	0	0	0	0	0	493257	0	0	12194400	0	0	460487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1261280	0	0	25736700	0	0	6181400	0	0	0	0	0	0	0	0	122210000	0	0	0	0	0	0	0	0	0	0	0	0	791109	0	0	0	0	3785230	4151620	0	2749020	0	0	959807	711639	0	0	0	0	0	0	0	0	0	0	223267	0	0	0	0	0	0	1134690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1977780	1488040	0	0	0	0	0	386886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1336360	0	2128670	0	0	0	1817230	0	0	0	0	0	0	0	0	0	0	0	0	0	2388570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279373	0	0	0	0	0	0	0	136233	0	0	0	0	0	0	2257820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2719800	0	0	0	574968	2364160	2148470	393611	0	0	0	0	0	472026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2100640	0	0	0	0	0	0	0	0	0	838933	0	0	0	0	0	0	3986210	8303340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2827510	0	0	15875500	2271620	0	0	0	0	0	0	3267180	0	0	0	752004	0	0	0	0
"deoxycholic acid"	70431000	0	1250560	0	27459200	180096	21110376	5427966	0	11025262	1357807	0	0	15712878	3404310	0	43929300	3937904	0	3358300	17681300	13371300	0	16362600	8807050	0	0	0	87140800	45865100	0	0	0	0	0	0	0	15294727	0	0	0	9290710	5968330	26548400	39250300	11400480	6043279	0	0	454247310	17960289	0	0	43827500	0	0	0	11745700	16106610	0	19693325	2558390	0	6564470	6028300	13464696	4624710	0	0	0	0	4274420	4945890	0	9025525	0	0	17997635	137819	48539252	31279290	650300	7352860	12114400	13291600	4059021	9727926	8818080	5863620	0	2988250	0	0	0	8896730	0	0	9216308	31841200	9415160	865802	0	0	0	9281438	0	0	0	0	15026320	0	20203692	0	31135000	0	0	1660980	0	0	12682130	6406100	0	0	0	127096000	13238617	0	50890400	7213184	21775013	31577400	103208000	0	0	0	0	2854830	0	0	18799700	0	11907330	11095000	1841560	13832900	0	23803000	0	0	88913500	24206200	0	0	145980000	7401561	0	15791870	5442910	0	28108100	8168715	3336360	0	0	4497540	24409800	4901000	12021207	27310700	7043370	0	36598600	4066780	382456	7983891	7143880	0	0	2206000	71625700	88238500	25283800	12298610	0	5028290	11597400	0	0	0	0	0	18256407	31139830	17395900	77963200	5857590	5623560	0	0	902136	0	14312300	0	19054430	4665870	10020900	2003380	8920758	14304681	15043897	0	0	0	0	18474013	11493253	3966700	0	0	0	0	0	5928750	0	0	0	37645860	941354	1047000	0	5615030	0	0	0	9647200	3877750	0	3454230	10195789	0	0	0	12101575	11893812	0	2431795	14474300	0	0	9661710	8155470	2223694	0	0	10814990	0	30791000	7720370	0	0	0	0	817392	22700700	11006116	0	0	0	77279700	0	13738505	0	55526500	1346910	0	5100240	0	0	1417230	0	5224824	0	0	5799920	0	0	6408377	13147240	5191940	0	0	16380120	0	18836880	4994000	0	3253980	13340980	18743240	14977900	0	16742100	2797444	19274098	31719000	0	0	19632640	1370240	476739	0	23723868	0	39688200	20031200	20730700	0	0	14538603	6329760	8724040	4369500	11638802	0	0	19784800	17586677
"\"(R)-4-((3R,5S,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-7,12-dioxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	1138190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42363100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55974600	0	0	30172800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52435100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	795272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13909700	0	0	0	0	0	0	17891900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6520780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2207010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12643300	0	0	62570070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4811860	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9143170	0	0	0	0	0	1327480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29415500	0	0	0	0	0	0	0	0	0	36233100	0	0	0	0	0	0
