PlotOrder,UNC,GLY,TAU,AA,OXO,SUL,tetra
108,0.59248499,0,0.000423869,0.002587464,0.278927918,0.004906005,0.120669755
109,0.598227545,0.08888907,0.125582604,0,0.089819761,0,0.097481021
110,0.602979955,0.361146125,0.006603236,0,0.025659885,0,0.003610799
111,0.612592828,0.186945877,0.015292232,0,0.081882429,0,0.103286635
112,0.614590654,0.184355527,0.000996703,0,0.182885967,0,0.017171149
113,0.615247286,0,0.002756738,0,0.180625084,0.004414924,0.196955968
114,0.62229441,0.082160929,0.154327424,0,0.087538702,0,0.053678535
115,0.622802062,0.003329898,0,0.001571279,0.348146981,0,0.024149781
116,0.625917644,0.098161095,0.000367333,0,0.190634451,0,0.084919476
117,0.626089218,0.079245507,0.219099582,0,0.036727998,0.003352172,0.035485523
118,0.638067334,0.010024556,0.343010022,0,0,0,0.008898088
119,0.645430467,0.078246687,0.173959361,0,0.061799128,0,0.040564358
120,0.649427136,0.102568848,0.038057706,0,0.126960166,0,0.082986144
121,0.649793572,0.142435305,0.072651385,0,0.056959208,0,0.07816053
122,0.649857116,0.010910707,0.007377047,0.007404361,0.299042868,0,0.025407901
123,0.653063645,0,0.005321885,0,0.307715912,0.000718849,0.033179709
124,0.653495541,0,0,0,0.215362533,0,0.131141926
125,0.657180787,0.078193709,0.080901366,0,0.125368477,0,0.058355661
126,0.660469355,0.206670408,0.002855392,0,0.053063357,0,0.076941489
127,0.662981691,0.062298347,0.227418141,0.001904859,0.004535681,0,0.04086128
128,0.668674394,0.331325606,0,0,0,0,0
129,0.67059754,0.082655278,0.028256664,0,0.162608808,0,0.055881711
130,0.678924005,0.102797906,0.097390959,0,0.027424732,0,0.093462398
131,0.684308105,0.069851988,0.000778775,0,0.229777909,0,0.015283224
132,0.684369502,0.024445379,0.185873644,0,0.08939202,0,0.015919455
133,0.686626682,0.006282948,0.001777341,0.014496667,0.208739905,0.003263578,0.078812878
134,0.695569484,0.008442864,0.017526637,0.012414598,0.265346961,0,0.000699456
135,0.696141388,0,0,0,0.282502044,0,0.021356568
136,0.698554825,0.009504129,0.002938264,0,0.229981213,0,0.059021568
137,0.706605147,0.21919607,0,0,0.072870176,0,0.001328608
138,0.709574347,0.034415058,0.233800292,0,0.020379881,0,0.001830422
139,0.710086298,0.160856464,0,0,0.12415111,0,0.004906128
140,0.712028843,0.00059189,0.000494569,0.000843813,0.186436833,0.000375252,0.0992288
141,0.714551531,0,0.004748545,0,0.20337651,0.018223022,0.059100392
142,0.718409619,0.020716185,0.005187916,0,0.179339156,0,0.076347123
143,0.721975115,0.039619486,0,0,0.207244984,0,0.031160416
144,0.722025826,0,0,0,0.16219879,0.071011413,0.04476397
145,0.727350384,0.043603308,0.082347871,0,0.125180142,0,0.021518295
146,0.729250743,0,0.054822437,0.01341159,0.140213602,0.009430069,0.052871559
147,0.736821484,0.125850811,0.118303161,0,0.012812747,0,0.006211798
148,0.738458519,0.261541481,0,0,0,0,0
149,0.744310266,0.025919226,0.095156229,0,0.077059226,0,0.057555052
150,0.750485925,0,0.108311046,0,0.050451157,0.019108016,0.071643856
151,0.752117,0.059714147,0.084624964,0,0.087415241,0,0.016128647
152,0.753314423,0.035008019,0.003175713,0,0.19117322,0,0.017328625
153,0.753500567,0.005580746,0,0,0.148976095,0,0.091942592
154,0.754939858,0.008101626,0.035611317,0,0.185443975,0,0.015903224
155,0.755119594,0.04746096,0.000697356,0,0.177296404,0,0.019425686
156,0.755457505,0.00714671,0.001322877,0.011877631,0.20424607,0.002915596,0.017033611
157,0.75892712,0.017213042,0.03060214,0,0.193257697,0,0
158,0.762642098,0.0765301,0.078341762,0.001716026,0.075384674,0,0.005385339
159,0.763236485,0.236763515,0,0,0,0,0
160,0.768319194,0.012331566,0.024322864,0.002734598,0.100744058,0.001509569,0.090038151
161,0.771784475,0.018465147,0.143131136,0,0.016233454,0,0.050385788
162,0.775526806,0.096239473,0.018843984,0,0.032964329,0,0.076425409
163,0.775766365,0.035514057,0.04857345,0,0.098288068,0.002260252,0.039597807
164,0.778104668,0,0,0,0.062808715,0,0.159086617
165,0.778980946,0.01356377,0.155260231,0,0,0,0.052195054
166,0.783160794,0.038471652,0.031133368,0,0.129071826,0,0.018162359
167,0.785451886,0.120357244,0,0,0.090304249,0,0.00388662
168,0.786093355,0,0.075405634,0,0.084466533,0,0.054034477
169,0.791126348,0.208873652,0,0,0,0,0
170,0.791762291,0.063191388,0.05861243,0,0.040428435,0,0.046005456
171,0.792507248,0.058936694,0.050364716,0,0.081215179,0,0.016976163
172,0.793142629,0.048160593,0.017184003,0,0.116415224,0,0.025097551
173,0.794077024,0.014694298,0.059309089,0,0.0500203,0,0.081899289
174,0.794342082,0,0.031965465,0,0.14471636,0.002334877,0.026641216
175,0.79688158,0.00820304,0.00759516,0,0.144398435,0,0.042921785
176,0.798273056,0,0.007741589,0,0.180857094,0.008422219,0.004706041
177,0.79987985,0,0.002629599,0.004380831,0.156478353,0.000957721,0.035673646
178,0.802023261,0.000829385,0,0.000378113,0.183377553,0.002361716,0.011029971
179,0.806194764,0.055094305,0.005210052,0,0.10178704,0,0.031713839
180,0.80930845,0.002472683,0.06842803,0.008089416,0.06765103,0.007962939,0.036087452
181,0.80990472,0.084757219,0.018320808,0,0.049578332,0,0.037438921
182,0.818785436,0.063692181,0,0,0.08159713,0,0.035925254
183,0.820728763,0.059097544,0,0,0.114667761,0,0.005505933
184,0.826739177,0.008235239,0,0,0.138383223,0.004842385,0.021799976
185,0.828501556,0,0.003790827,0.004811525,0.105083819,0.009669562,0.048142712
186,0.83307486,0.087410756,0,0,0.070623343,0,0.008891041
187,0.835531497,0.01427197,0.127347883,0,0.016048178,0,0.006800473
188,0.835700144,0.035529786,0.080391718,0,0.028248168,0,0.020130183
189,0.838161957,0.041118587,0.002265378,0,0.092741163,0,0.025712915
190,0.838673383,0.059904183,0.015061984,0,0.044477598,0,0.041882852
191,0.840518215,0.043373968,0.041815667,0,0.047379463,0,0.026912686
192,0.842140632,0.085609909,0,0,0.060842037,0,0.011407422
193,0.842680216,0.014176551,0,0.019448941,0.052812488,0.0191271,0.051754704
194,0.843263594,0,0,0,0.156736406,0,0
195,0.843709701,0,0.015095827,0.004039287,0.086948956,0.010936742,0.039269486
196,0.84855916,0.096500889,0,0,0.041652528,0,0.013287423
197,0.848741742,0.043977489,0.021589734,0,0.064273058,0,0.021417978
198,0.849205882,0,0,0.002680803,0.030629966,0.014226169,0.103257181
199,0.850382298,0,0.021526446,0.002221436,0.068723076,0.011186964,0.045959779
200,0.852904712,0.147095288,0,0,0,0,0
201,0.85305042,0.14694958,0,0,0,0,0
202,0.853350069,0.047101255,0.000765666,0,0.067453251,0,0.031329759
203,0.854792311,0.053527913,0.029556538,0,0.035410337,0,0.026712901
204,0.856414799,0.020435387,0,0.023438545,0.084263169,0,0.0154481
205,0.857434533,0.087006944,0.00535482,0,0.044258593,0,0.00594511
206,0.859500552,0,0.061832452,0.008648597,0.005305653,0.015088086,0.04962466
207,0.86195369,0.038644928,0.010898664,0,0.065024625,0,0.023478093
208,0.861968137,0.138031863,0,0,0,0,0
209,0.866317909,0,0,0,0.133682091,0,0
210,0.866753768,0.133246232,0,0,0,0,0
211,0.86987897,0,0,0,0.13012103,0,0
212,0.877372045,0.122627955,0,0,0,0,0
213,0.88002296,0.053263197,0,0,0.058789854,0,0.007923989
214,0.881236047,0,0.001625728,0.012855373,0.038036686,0.01125957,0.054986597
215,0.88136939,0.04003509,0,0,0.049493198,0,0.029102321
216,0.882592404,0.00191524,0.000740346,0.010551366,0.05080153,0.017297015,0.0361021
217,0.882867958,0.044080092,0.018206528,0,0.012243998,0,0.042601425
218,0.883057457,0.03064803,0.009423228,0,0.048886713,0,0.02798457
219,0.883195269,0.008821343,0.075246442,0.005423686,0.025168733,0,0.002144528
220,0.888440783,0.111559217,0,0,0,0,0
221,0.889287103,0.018554318,0,0,0.092158579,0,0
222,0.889372617,0,0,0,0.110627383,0,0
223,0.890094761,0,0.039448895,0.00283928,0.042283013,0.011515562,0.013818489
224,0.890707583,0.109292417,0,0,0,0,0
225,0.89292162,0.003168438,0,0,0.087700913,0,0.016209029
226,0.894110691,0.105889309,0,0,0,0,0
227,0.89552066,0,0.007873272,0.010591146,0.050781566,0.009095655,0.0261377
228,0.897727913,0.003394577,0.009910914,0.005561578,0.063536219,0,0.0198688
229,0.898446231,0.019815436,0.02882109,0,0,0,0.052917243
230,0.900095542,0.099904458,0,0,0,0,0
231,0.901611452,0.001127963,0.000946257,0.001865372,0.08064674,0,0.013802216
232,0.902651984,0,0.001429057,0.00661556,0.011333497,0.013688424,0.064281477
233,0.902752707,0.048054422,0,0,0.044854884,0,0.004337987
234,0.905798636,0,0.015134289,0,0.01417649,0,0.064890585
235,0.907132847,0.077026517,0,0,0.011676608,0,0.004164028
236,0.908247519,0.003266548,0,0,0.080825656,0,0.007660277
237,0.908882084,0,0,0,0.081068806,0,0.01004911
238,0.90942553,0,0.005442398,0,0.014995321,0,0.070136751
239,0.915110952,0.002411322,0,0,0.067004587,0,0.01547314
240,0.915161597,0.007661232,0.027034869,0,0.037120248,0,0.013022053
241,0.919718024,0.03881466,0.020231511,0,0,0,0.021235806
242,0.919913678,0.001036033,0.004155433,0.006773284,0.059229511,0.003099022,0.00579304
243,0.920091862,0.079908138,0,0,0,0,0
244,0.922150355,0.009450261,0,0,0.057781392,0,0.010617992
245,0.92221539,0.07778461,0,0,0,0,0
246,0.924160712,0,0,0,0.075839288,0,0
247,0.924350389,0.014072322,0.000420172,0,0.048091545,0,0.013065572
248,0.92455246,0.025224029,0.007775888,0,0.022593383,0,0.01985424
249,0.924871708,0.028299786,0.011137576,0,0.009258875,0,0.026432054
250,0.928357858,0.071642142,0,0,0,0,0
251,0.930393254,0.041322301,0,0,0.022062043,0,0.006222401
252,0.932341837,0,0,0.00579193,0.032074579,0,0.029791654
253,0.9344893,0,0,0,0.0655107,0,0
254,0.93654041,0.024116203,0.008945235,0,0.011335634,0,0.019062518
255,0.939422598,0,0,0,0.060577402,0,0
256,0.939997302,0.037005304,0,0,0.020413312,0,0.002584082
257,0.942285783,0,0,0,0.031416323,0,0.026297894
258,0.942399214,0.057600786,0,0,0,0,0
259,0.943619573,0,0,0,0,0,0.056380427
260,0.949324071,0.023967371,0.000701843,0,0.017789748,0,0.008216967
261,0.950083054,0.049916946,0,0,0,0,0
262,0.950248605,0,0,0,0.012400053,0,0.037351342
263,0.953738578,0.046261422,0,0,0,0,0
264,0.954647532,0,0,0,0,0,0.045352468
265,0.954859178,0.045140822,0,0,0,0,0
266,0.95550611,0,0.005543602,0.003224386,0.013453305,0.005620861,0.016651736
267,0.955583023,0,0.024940674,0,0,0.014962221,0.004514082
268,0.955967217,0.007428144,0.013879979,0.008801764,0.013143569,0,0.000779328
269,0.956523335,0,0,0,0.043476665,0,0
270,0.956878081,0,0,0,0.043121919,0,0
271,0.957510861,0.007098601,0,0,0.029283019,0,0.00610752
272,0.961377056,0,0.011470309,0,0.020870969,0.003479627,0.002802039
273,0.961599114,0,0,0,0.038400886,0,0
274,0.96242194,0,0,0,0.03757806,0,0
275,0.963055095,0,0.003965388,0,0.006440994,0.004206373,0.02233215
276,0.964366477,0,0,0,0.035633523,0,0
277,0.9656535,0,0.0343465,0,0,0,0
278,0.966057637,0.021761038,0,0,0,0,0.012181326
279,0.967390885,0,0,0,0.032609115,0,0
280,0.969025653,0.030974347,0,0,0,0,0
281,0.971032536,0.001133448,0,0.001063359,0.007575723,0,0.019194933
282,0.971136475,0.003797892,0.010813305,0,0,0,0.014252328
283,0.971140606,0,0,0,0.028859394,0,0
284,0.975863785,0.024136215,0,0,0,0,0
285,0.976399019,0.023600981,0,0,0,0,0
286,0.976931519,0.004281423,0,0,0.013477916,0,0.005309143
287,0.978805047,0,0.005575406,0.000567574,0.013619966,0,0.001432007
288,0.979395702,0,0,0,0.020604298,0,0
289,0.979815546,0.020184454,0,0,0,0,0
290,0.982011457,0,0,0,0,0,0.017988543
291,0.985285489,0,0,0,0.004670287,0,0.010044224
292,0.986319401,0.000933109,0,0,0,0.006739255,0.006008235
293,0.987876438,0.012123562,0,0,0,0,0
294,0.991261583,0.006709284,0,0,0.00179698,0,0.000232153
295,0.992811943,0.007188057,0,0,0,0,0
296,0.994149998,0,0,0.002637616,0,0,0.003212386
297,0.994247144,0.005752856,0,0,0,0,0
298,0.996078205,0,0.001016239,0.001026887,0.001878669,0,0
299,0.99640003,0.00359997,0,0,0,0,0
300,1,0,0,0,0,0,0
301,1,0,0,0,0,0,0
302,1,0,0,0,0,0,0
303,1,0,0,0,0,0,0
304,1,0,0,0,0,0,0
305,1,0,0,0,0,0,0
306,1,0,0,0,0,0,0
307,1,0,0,0,0,0,0
308,1,0,0,0,0,0,0
309,1,0,0,0,0,0,0
310,1,0,0,0,0,0,0
311,1,0,0,0,0,0,0
312,1,0,0,0,0,0,0
313,1,0,0,0,0,0,0
314,1,0,0,0,0,0,0
315,1,0,0,0,0,0,0
316,1,0,0,0,0,0,0
