Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X18NAVY32_V2_20180413.mzML_1,0,0,989605,0,0,0,33300962
Fecal.2.7ACN.3H2O_RB9_171.mzML_1,0,53981812,294786080,0,4896899,26720466,1161598920
BP000096893_p.mzML_1,0,491504829,126195600,0,6790710,182982720,1570732264
BP000096853_p.mzML_1,0,97004810,68940270,0,0,12925780,954231740
Fecal.2.6MeOH.4H2O_RB5_138.mzML_1,0,32719660,63486397,0,0,3048388,454400712
Fecal.2.5MeOH.5H2O_RB6_168.mzML_1,0,29988670,58239709,0,112222,25943294,191220744
X38989.mzXML_1,15374020,0,9431498,26821060,109915330,88214370,1527875460
X38874.mzXML_1,0,11325600,3033390,0,0,391886,1673298160
X17NAVY18_V1_20170212.mzML_1,0,0,0,0,0,0,24052199
X38848.mzXML_1,0,11592010,563617703,0,0,21528660,196273277
X11713.17.F.17B.mzML_1,0,2261310,0,0,0,0,0
BP000098363_n.mzML_1,0,31874820,0,0,0,0,207342601
X38996.mzXML_1,0,0,0,0,0,0,9126700
BP000096973_p.mzML_1,0,28461562,246390560,0,7127577,104891820,987008930
X38756.mzXML_1,0,126267430,0,0,276671470,0,27226940
X38814.mzXML_1,0,79588930,0,0,319671061,2889820,284741270
Fecal.1.5MeOH.5H2O_RA6_155.mzML_1,0,9373498,2603649,0,3871563,9059064,187739197
X38774.mzXML_1,5750620,0,23993670,10024680,9886890,29698000,1704123821
X39111.mzXML_1,0,527916990,198260370,0,79070100,10669080,691597430
X18NAVY27_V1_20180121.mzML_1,0,1226740,13773100,0,2180955,0,54087259
X11713.14.F.14B.mzML_1,0,14665030,0,0,77110630,0,0
X38991.mzXML_1,24705820,0,73099980,21638960,3124370,105674800,1693584400
X11713.20.F.20C.mzML_1,0,8344020,0,0,82151982,0,0
Fecal.2.7MeOH.3H2O_RB4_104.mzML_1,0,29683018,213476142,0,1511964,36501804,135705843
X39027.mzXML_1,0,0,257093646,3134440,0,0,130246230
X17NAVY24_V1_20170910.mzML_1,0,0,989173,0,0,0,15339903
X38855.mzXML_1,40520930,0,1084110390,0,0,108727820,782491670
X38803.mzXML_1,0,0,240622302,0,0,245591000,264848206
BP000098467_p.mzML_1,0,14130796,248744960,0,13083645,73938320,1372731480
X15NAVY03_V1_20151123.mzML_1,0,0,0,0,225124,0,0
Fecal.1.5MeOH.5ACN_RA7_116.mzML_1,0,10811620,17334340,0,11186000,8068670,90866504
BP000096861_n.mzML_1,0,131223000,0,0,0,0,1045040190
X38787.mzXML_1,0,29706090,33403140,0,265065560,14154700,1739099380
X16NAVY05_V1_20160207.mzML_1,0,0,0,0,0,0,0
X11713.18.F.18A.mzML_1,0,33670420,11363610,0,245259757,0,11859400
X38998.mzXML_1,11151730,18137710,51749850,0,154715460,4409400,1815952475
X11713.24.F.24A.mzML_1,0,126040360,0,0,58587978,0,0
X38812.mzXML_1,0,0,0,0,0,13915960,0
BP000098483_p.mzML_1,0,12675907,306732000,0,3918840,78718620,931680964
X38723.mzXML_1,0,0,263377180,4249370,58175690,48485800,1445666391
BP000096965_n.mzML_1,0,130638500,0,0,0,0,815798770
X39128.mzXML_1,1675930,0,65380970,0,0,62289400,180841498
X11713.14.F.14A.mzML_1,0,37775272,0,0,188466428,0,6326010
X38959.mzXML_1,44104620,0,211469240,37876960,32786600,108845000,3729209010
Fecal.1.7MeOH.3H2O_RA4_101.mzML_1,0,8228080,8314230,0,11624643,9023400,55375358
