"Compound_Name"	"Precursor_MZ"	"X38782.mzXML"	"X38980.mzXML"	"M.240.mzML"	"X11713.9.F.9B.mzML"	"X38765.mzXML"	"X38838.mzXML"	"X38914.mzXML"	"X11713.8.F.8F.mzML"	"X38932.mzXML"	"M.160.mzML"	"X39130.mzXML"	"X11713.1.F.1E.mzML"	"X11713.1.F.1A.mzML"	"X11713.8.F.8E.mzML"	"X38706.mzXML"	"X11713.10.F.10F.mzML"	"X39038.mzXML"	"X38908.mzXML"	"X11713.3.F.3C.mzML"	"dhmc_1_10.mzML"	"X17NAVY22_V2_20170820.mzML"	"X38849.mzXML"	"X38718.mzXML"	"X38882.mzXML"	"X39114.mzXML"	"X38769.mzXML"	"X39023.mzXML"	"X11713.25.F.25B.mzML"	"X38818.mzXML"	"X38963.mzXML"	"X38799.mzXML"	"X11713.11.F.11G.mzML"	"X39119.mzXML"	"X38892.mzXML"	"X39135.mzXML"	"X38724.mzXML"	"X38820.mzXML"	"X38833.mzXML"	"X38806.mzXML"	"X11713.10.F.10C.mzML"	"X38938.mzXML"	"X38741.mzXML"	"X39125.mzXML"	"X38889.mzXML"	"X38722.mzXML"	"X38912.mzXML"	"X38862.mzXML"	"X11713.11.F.11B.mzML"	"X38819.mzXML"	"X38873.mzXML"	"X11713.8.F.8D.mzML"	"X38701.mzXML"	"X38703.mzXML"	"X38753.mzXML"	"X38887.mzXML"	"X11713.1.F.1D.mzML"	"X11713.22.F.22E.mzML"	"X38962.mzXML"	"X38705.mzXML"	"X38732.mzXML"	"X18NAVY28_V1_20180325.mzML"	"X38843.mzXML"	"X38699.mzXML"	"X38823.mzXML"	"X38797.mzXML"	"X38815.mzXML"	"X11713.11.F.11F.mzML"	"X11713.2.F.6.2E.mzML"	"X16NAVY06_V1_20160204.mzML"	"X39140.mzXML"	"X11713.4.F.4G.mzML"	"X38895.mzXML"	"M.451.mzML"	"X38955.mzXML"	"X38813.mzXML"	"X38839.mzXML"	"M.547.mzML"	"X11713.19.F.19E.mzML"	"X38936.mzXML"	"X38780.mzXML"	"X16NAVY12_V2_20160814.mzML"	"X11713.23.F.23C.mzML"	"X38940.mzXML"	"X38877.mzXML"	"X11713.11.F.11C.mzML"	"X11713.4.F.4D.mzML"	"X11713.10.F.10D.mzML"	"X38967.mzXML"	"X11713.19.F.19A.mzML"	"X38708.mzXML"	"M.179.mzML"	"X38888.mzXML"	"X11713.1.F.1F.mzML"	"X18NAVY28_V2_20180415.mzML"	"X38694.mzXML"	"X16NAVY12_V2_20160813.mzML"	"X11713.8.F.8A.mzML"	"X11713.8.F.8C.mzML"	"X38811.mzXML"	"X38749.mzXML"	"X11713.23.F.23F.mzML"	"X16NAVY14_V2_20161118.mzML"	"X38899.mzXML"	"X38776.mzXML"	"M.355.mzML"	"X11713.10.F.10B.mzML"	"X38709.mzXML"	"X16NAVY11_V2_20160713.mzML"	"X16NAVY10_V2_20160712.mzML"	"M.467.mzML"	"X11713.23.F.23D.mzML"	"X11713.6.F.6C.mzML"	"X16NAVY11_V1_20160623.mzML"	"X18NAVY28_V2_20180413.mzML"	"X38897.mzXML"	"X38905.mzXML"	"X38867.mzXML"	"X11713.9.F.9A.mzML"	"X11713.2.F.2B.mzML"	"X11713.19.F.19D.mzML"	"X11713.25.F.25D.mzML"	"X11713.4.F.4B.mzML"	"M.499.mzML"	"X39116.mzXML"	"X11713.22.F.22F.mzML"	"X39029.mzXML"	"X11713.21.F.21D.mzML"	"X38743.mzXML"	"X38786.mzXML"	"X38925.mzXML"	"X38800.mzXML"	"X38859.mzXML"	"X38995.mzXML"	"X11713.3.F.3E.mzML"	"X38858.mzXML"	"X38880.mzXML"	"X16NAVY06_V2_20160227.mzML"	"X39133.mzXML"	"M.211.mzML"	"X16NAVY12_V1_20160723.mzML"	"X38731.mzXML"	"X38733.mzXML"	"X72849.mzML"	"X38740.mzXML"	"X39134.mzXML"	"M.227.mzML"	"X11713.8.F.8B.mzML"	"X38764.mzXML"	"X11713.12.F.12E.mzML"	"X11713.21.F.21E.P2.mzML"	"X39030.mzXML"	"M.864.mzML"	"M.176.mzML"	"X38846.mzXML"	"X38907.mzXML"	"X38729.mzXML"	"X38692.mzXML"	"X11713.2.F.2H.mzML"	"X11713.22.F.22D.mzML"	"X16NAVY11_V1_20160621.mzML"	"X38761.mzXML"	"X38926.mzXML"	"X38900.mzXML"	"X38773.mzXML"	"X16NAVY14_V1_20161027.mzML"	"X11713.23.F.23B.mzML"	"M.435.mzML"	"X11713.4.F.4C.mzML"	"X39049.mzXML"	"X16NAVY08_V2_20160513.mzML"	"X38804.mzXML"	"X38778.mzXML"	"X38904.mzXML"	"X11713.2.F.2A.mzML"	"M.208.mzML"	"X38695.mzXML"	"X38793.mzXML"	"X17NAVY22_V2_20170821.mzML"	"X38739.mzXML"	"X38929.mzXML"	"X72848.mzML"	"M.483.mzML"	"X38751.mzXML"	"X11713.7.F.7C.mzML"	"X38770.mzXML"	"X38734.mzXML"	"X39115.mzXML"	"X16NAVY10_V1_20160623.mzML"	"X11713.1.O.1G.mzML"	"X38986.mzXML"	"X17NAVY22_V1_20170730.mzML"	"X38973.mzXML"	"X11713.9.F.9F.mzML"	"X11713.6.F.6A.WYH2.mzML"	"X11713.7.F.7B.mzML"	"X18NAVY28_V1_20180326.mzML"	"X38807.mzXML"	"X38702.mzXML"	"X11713.2.F.2D.mzML"	"X39121.mzXML"	"M.387.mzML"	"X38965.mzXML"	"X38777.mzXML"	"X38744.mzXML"	"X38842.mzXML"	"X11713.21.F.21A.mzML"	"X38798.mzXML"	"X38852.mzXML"	"X17NAVY22_V2_20170818.mzML"	"dhmc_7_10.mzML"	"X38816.mzXML"	"X16NAVY14_V2_20161119.mzML"	"X11713.12.F.12D.mzML"	"X11713.23.F.23E.mzML"	"X16NAVY11_V2_20160712.mzML"	"X38725.mzXML"	"X39118.mzXML"	"X11713.21.F.21B.mzML"	"X38868.mzXML"	"X38810.mzXML"	"X38817.mzXML"	"X38707.mzXML"	"X38763.mzXML"	"X38762.mzXML"	"X38768.mzXML"	"X11713.2.F.2I.mzML"	"X38747.mzXML"	"X11713.10.F.10A.mzML"	"X39015.mzXML"	"M.192.mzML"	"X39024.mzXML"	"X11713.9.F.9E.mzML"	"dhmc_9_10.mzML"	"M.675.mzML"	"X38857.mzXML"	"X39149.mzXML"	"X39014.mzXML"	"X38736.mzXML"	"X11713.19.F.19C.mzML"	"X38726.mzXML"	"X38752.mzXML"	"X38879.mzXML"	"X38950.mzXML"	"M.496.mzML"	"X39106.mzXML"	"X38759_38845.mzXML"	"X38966.mzXML"	"X38717.mzXML"	"X11713.2.F.2F.mzML"	"X38977.mzXML"	"X11713.2.F.2G.mzML"	"X38981.mzXML"	"X39137.mzXML"	"X11713.9.F.9G.mzML"	"X38715.mzXML"	"M.334.mzML"	"X38972.mzXML"	"X38712.mzXML"	"X39092.mzXML"	"X39145.mzXML"	"X38974.mzXML"	"X38830.mzXML"	"X11713.9.F.9D.mzML"	"X38710.mzXML"	"X11713.7.F.7A.mzML"	"M.448.mzML"	"X38785.mzXML"	"X38886.mzXML"	"dhmc_3_1.mzML"	"M.627.mzML"	"X18NAVY28_V2_20180416.mzML"	"X38881.mzXML"	"X39057.mzXML"	"X39139.mzXML"	"X39042.mzXML"	"X39126.mzXML"	"X38871.mzXML"	"M.243.mzML"	"X39131.mzXML"	"X11713.4.F.4F.mzML"	"M.704.mzML"	"X11713.12.F.12B.mzML"	"X38772.mzXML"	"X16NAVY08_V2_20160514.mzML"	"X11713.12.F.8.12A.mzML"	"X38971.mzXML"	"X38836.mzXML"	"X38863.mzXML"	"X11713.4.F.4E.mzML"	"X38771.mzXML"	"X11713.10.F.10G.mzML"	"X38696.mzXML"	"X17NAVY22_V1_20170703.mzML"	"M.512.mzML"	"M.144.mzML"	"X11713.23.F.23A.mzML"	"X11713.1.F.1C.mzML"	"X38928.mzXML"	"X38933.mzXML"	"X16NAVY14_V1_20161028.mzML"	"X38735.mzXML"	"X38994.mzXML"	"X38841.mzXML"	"X11713.25.F.25C.mzML"	"X38983.mzXML"	"X39047.mzXML"	"X38976.mzXML"	"X39146.mzXML"	"X11713.4.F.4A.mzML"	"X11713.12.F.12C.mzML"	"X39122.mzXML"	"X38990.mzXML"	"M.994.mzML"	"X38864.mzXML"	"dhmc_6_10.mzML"	"X39142.mzXML"	"X38760.mzXML"	"X38767.mzXML"	"X39028.mzXML"	"X39095.mzXML"	"X38835.mzXML"	"X38982.mzXML"	"X11713.25.F.25A.mzML"	"M.563.mzML"	"X11713.22.F.22A.mzML"	"X16NAVY08_V2_20160314.mzML"	"X38952.mzXML"	"X38700.mzXML"	"X38876.mzXML"	"X11713.3.F.3A.mzML"	"X38828.mzXML"	"X39117.mzXML"	"X38943.mzXML"	"X38720.mzXML"	"X18NAVY28_V1_20180323.mzML"	"X39022.mzXML"	"X38704.mzXML"	"X38824.mzXML"	"X72851.mzML"	"X38872.mzXML"	"X38831.mzXML"	"X11713.25.F.25G.mzML"	"X11713.10.F.10E.mzML"	"X11713.21.F.21C.WYE4.mzML"	"X72845.mzML"	"X11713.22.F.22C.mzML"	"X38969.mzXML"	"X38792.mzXML"	"X11713.3.F.3B.mzML"	"X38795.mzXML"	"X11713.19.F.19B.WYD9.mzML"	"M.307.mzML"	"X39123.mzXML"	"X38779.mzXML"	"X11713.11.F.11A.mzML"	"X11713.25.F.25E.mzML"	"X38898.mzXML"	"X16NAVY11_V2_20160714.mzML"	"X11713.2.F.2C.mzML"	"X38728.mzXML"	"X38781.mzXML"	"M.643.mzML"	"M.656.mzML"	"X38884.mzXML"
"lithocholic acid"	323.273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1014750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2408570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1384850	0	0	0	0	0	2180220	0	0	0	0	0	0	0	0	0	0	0	1480250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	744720	0	0	0	46108800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29110500	0	0	0	0	1302020	0	0	0	0	0	0	1047630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31658700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10299000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6347980	0	0	0	0	0	0	0	0	0	4860090	0	0
"lithocholic acid"	341.284	0	0	0	4662900	0	0	0	0	0	7052186	0	4198030	0	0	0	0	0	0	0	262308	1547400	0	9843740	0	0	0	0	0	0	0	0	0	0	0	0	0	1176090	0	0	0	0	0	0	0	16969400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3854650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2947660	0	787996	0	0	0	0	0	0	0	0	0	0	0	0	18596800	0	0	599954	0	1842430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	931806	0	0	0	0	0	0	0	0	26846600	0	0	0	0	0	0	0	0	0	0	0	2757930	0	0	0	18493600	634844	0	0	0	0	0	24780839	4490850	0	0	0	3178350	17271963	26729100	0	0	0	0	0	0	0	17155570	0	0	0	719938	0	0	0	3583900	0	0	0	0	0	28881404	0	0	890524	0	0	0	8097490	0	5801950	0	0	0	0	0	0	0	10428290	0	0	0	2389040	0	4352960	0	0	3384180	0	0	42702300	0	0	0	0	1168800	0	0	0	0	0	0	0	5951930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3539650	0	5812760	8569260	0	0	10324440	0	7354860	0	0	6481560	0	0	20844100	0	0	0	0	0	0	0	0	0	83642567	0	0	715396	5322840	96870	0	0	0	0	0	0	7539215.1	0	0	16963500	0	0	0	0	0	0	0	0	13747100	0	0	0	41214916	5888378.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57162500	0	0	0	0	0	0	0	0	1344960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32705500	0	0	0	0	0	0	0	0	0	0	29242400	0	0	0	693180	0	0	0	2463430	0	36438500	75925100	0
"Spectral Match to Cholic acid from NIST14"	355.263	7975660	8589790	98826790	0	12613700	911996	4287710	0	20197500	40843530	132251200	0	0	0	12525100	0	0	54576700	0	0	1760207	3933460	147744030	9158030	953210	14144500	23922000	0	33080900	3976920	0	0	81112870	17715300	12591500	0	88490400	0	23315460	3138980	17346500	29435510	8794860	0	7152080	175515160	1875700	0	0	4342290	0	21240310	4813960	24505100	0	0	0	24049580	11839430	5991620	57967310	2120970	160151710	4739960	34639100	41953270	0	0	0	15444900	3837480	17334986	82931700	37474100	5744910	37694120	74677760	0	6917340	16129860	0	0	31768680	126708900	0	11733800	0	9766920	0	31567860	24488700	0	0	1579920	9170410	10094632	0	0	1162670	75091230	0	25675533	2170080	9234450	10649400	0	0	0	0	31823800	0	0	0	275555378	5260470	0	111279820	0	0	0	0	0	80781300	0	0	15797290	0	63829700	11247900	156066100	10065810	607919	26988100	0	48593060	7415110	0	10150769	27243390	6147470	0	0	0	20337260	19228000	58143520	0	0	0	0	7201750	62855810	52930910	65380000	9473020	30260500	0	0	0	0	11282338	26908170	36953400	24069000	1351235	0	35422920	0	3646350	0	31235940	41291000	107528970	0	160793730	15859210	9486240	4506458	13969740	0	2868480	248219320	0	0	0	0	17027620	0	0	2349010	0	1914460	0	0	0	36537794	0	93449750	0	15408790	19049880	6285020	10962990	15661980	0	0	0	0	6562828	2501210	31423400	13184981	0	0	1277570	65078600	60498570	0	0	0	210601210	34609600	0	23177900	49479700	0	39368200	0	56907620	5740650	4973340	0	204816900	3058530	9568300	1819570	15585500	7899460	0	3974770	40985860	0	14348400	24157056	0	10199300	53834930	28558760	0	104051340	8925440	0	84362200	0	17257880	43103640	7825450	4997050	7883140	0	28640660	11174700	0	7937450	0	127038310	76894200	0	895437	21875560	13315470	1044150	2091010	42035900	0	32544230	92957500	7729600	53247800	3712390	36695100	0	51695500	0	0	0	6883380	4603210	6554160	28568660	4376150	44249400	0	146622000	163014371	1817070	0	0	39832200	0	1795100	5126320	0	0	0	3008160	14369860	7546870	0	0	0	35352460	119437217	0	138116890	23528600	0	0	6970950	0	2902690	22309000	0	0	0	0	163053770	34568180	26442400	0	9337680	4645800	0	89875430	43468789	15491080	27683840	28405716	4557990	0	4789890	0	0	0	0	9343200	99389580	3079460	0	0	0	146380280	5603200	0	0	0	3917700	0	0	132443600	12068820	110162750	276034279	0
"URSODEOXYCHOLATE"	357.279	146076000	19232170	61062460	0	71006300	26454110	355376690	0	45756800	31223356	16264645	0	0	0	294708940	0	12544800	74011000	0	4774450	759639	4243210	45493401	18763960	147258000	86923000	390236500	722285	255493160	43466790	0	0	58944800	0	30951000	25651251	115353000	0	86183700	0	37674823	21684720	813687000	0	40143061	64972050	42325970	2897550	64333400	83908950	0	14765600	226362430	62132970	0	0	0	26364530	698939350	409323000	121557289	0	96894109	36008200	17502700	3260710	0	0	0	230807680	50202200	18252370	20138663	66537080	302074000	13344481	99622860	0	47294600	31313650	4798870	0	23924700	810169100	0	7773520	0	23861700	0	22683780	18376010	4896220	0	2910000	18419180	18410448	0	7417140	180173330	162316390	0	39914662	96607060	106535500	74998730	0	47512300	1272360	0	15598920	0	0	2492890	2475012	184077000	0	22801230	0	0	0	0	3259170	77284186	19332280	23834800	25748240	0	196728160	108647000	147875400	923151740	58266140	34148790	0	29119230	16978026	0	120216000	46224151	5367649	9586500	24219971	0	34585263	42389500	144868260	5462880	29229300	0	0	21786110	56396497	59895823	8991980	25778100	127851980	36769900	0	0	450446	23906430	0	23288670	25094200	1354150	8384620	79921800	0	23525660	553759	214384100	10803280	413646600	0	284433853	89989190	524983380	359269	6517020	0	0	838104718	44581270	0	801811	58678500	417989000	0	0	46910210	2892070	23400800	0	3342780	0	9564780	2831866	27000270	0	145903810	12610750	18123320	52744700	80612233	155108000	0	10539800	16525000	196851	4128421	18055700	786452	0	0	1031300	100040400	437706278	0	0	13724500	36717520	42325100	19871600	286750910	28148900	0	11027400	5570290	58504500	15001260	34235790	0	4389190	14072680	77512700	98421360	43298700	81230800	0	2776160	117251800	26569300	298051870	46147163	81162900	26244560	7660560	796633900	0	16619910	0	11879200	642881000	0	0	299600598	2699310	22200080	432595000	11651800	137970000	53388800	0	600940900	3547970	245703420	40904100	4323500	1290433	44352900	4245390	0	71774300	414786960	5664870	58737150	31831900	13507281	71602270	4463840	33212467	0	43447100	182356	0	54329700	9559350	40553380	5392790	50278681	0	88123400	2026460	50088634	244288871	6050610	0	3582150	15176000	4443277	41792400	122023700	13163300	0	62114500	21208900	312382400	9934110	0	0	6594350	18748940	137001780	0	7646460	16453100	5278040	27036800	277278200	0	19456700	57266200	2166640	0	0	652229	747957380	66179470	6987560	0	160771000	6821580	15878600	19463819	69249586	13049740	21026440	92797000	658740	0	0	2510090	0	0	0	7273590	208405850	26559630	0	826114	0	35294503	6823983	4721510	0	0	715650780	0	1789930	184513163	5450674	112077755	330566372	27660000
"lithocholic acid"	359.294	0	3164030	8977692	0	0	0	0	0	0	14051956	0	0	0	0	0	0	0	0	0	334086	2298440	0	235229000	92881300	0	0	0	0	12667600	0	0	0	0	0	0	0	12738100	0	0	0	46879100	7279040	0	0	6949990	0	0	0	0	75160600	0	0	0	17074800	0	0	0	0	0	0	2628410	0	11087700	16101300	0	0	0	0	0	0	0	0	9367506.8	0	0	0	5145510	0	0	0	0	0	0	0	0	0	0	0	0	0	10578450	0	0	1796680	0	4219490	0	0	0	0	0	705522	0	0	4116300	0	0	0	331517	7987420	0	0	313225	1607570	0	0	0	0	0	0	0	0	19779500	0	0	44290800	0	0	0	0	0	0	0	0	135322000	8294040	0	0	25458168	1238170	0	0	0	33417700	0	2045756	0	0	0	0	0	2140254	29658000	0	0	0	0	0	0	0	40027400	0	0	0	1584370	0	6520338	0	0	0	0	12894100	14708500	0	16493678	0	12886300	2050480	0	0	0	43897951	0	0	0	0	0	0	0	0	0	0	0	0	0	1233480	0	98171400	0	0	7437460	0	0	9298710	0	0	0	0	988636	337558	4003670	601584	0	0	0	0	83001600	0	0	0	2947640	49573600	0	0	0	0	0	0	0	10065630	0	0	0	5023299	0	0	0	0	0	0	0	0	0	9700605	0	0	0	0	0	6050450	0	0	0	0	0	19660102	0	0	0	0	0	0	0	0	0	45316068	0	0	1269130	17089987	1286850	0	0	0	0	14746400	0	9265916	0	0	21128150	0	3973790	158719	0	0	0	0	0	101329000	0	7983550	759990	24107116	61189147	0	0	0	12730600	254938	0	0	0	0	0	0	0	0	0	0	0	0	42578955	0	360899	0	0	0	0	0	0	11964700	0	0	0	0	0	0	0	0	16927700	0	0	3929840	5534110	4294010	65778800	0	0	0	0	0	0	0	0	0	32484200	0	0	0	0	24136300	0	0	0	0	0	0	0	78033800	0	19343527	32212488	0
"\"(R)-4-((8S,9S,10R,13R,14S,17R)-10,13-dimethyl-3-oxo-2,3,8,9,10,11,12,13,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	371.258	0	0	0	0	0	0	0	0	0	4915490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21884800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29291600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304183000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7879780	0	36559900	0	26099800	0	0	0	0	19355100	0	0	0	12161800	0	0	0	0	0	0	0	0	0	0	0	0	5965180	9391280	68842100	0	0	0	0	0	0	0	8334340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26620100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58389300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19758100	0	0	0	0	81588100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71210700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7877940	0	0	0	0	0	0	0	0	0	31645800	0	0	0	14972100	0	0	0	0	0	27453800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18084700	0	0	27998000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8795150	0	340032	0	0	0	0	0	0	0	0	0	0	0	0	10559100	0	0	0	0	0	0	0	10392300	0	101733000	0	0	29408200	0	0	0	0	0	37477500	20047600	0	0	0	5908630	0	0	0	0	0	0	0	0	0	6096680	6454170	0
"\"(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-12-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	371.258	0	64768800	177027000	0	0	0	0	0	40860400	17330900	0	0	0	0	0	0	1334050	0	0	0	0	0	3670980	327447920	0	0	0	0	176779000	42213400	0	0	62019100	5016170	0	184527000	10264000	0	0	0	30847100	6244590	0	2296370	0	69349900	10054800	0	7814800	24992920	0	0	0	29413315	0	0	0	0	0	0	0	10175000	64370270	194602000	71829300	0	0	0	0	0	0	0	51973100	0	0	4143860	63996200	0	25678100	0	0	0	22947100	0	0	0	0	3824000	0	0	55398500	5917240	0	0	0	0	0	0	0	0	0	0	0	0	3904620	0	2343910	0	0	70008500	0	0	0	6331630	0	0	8908010	0	0	0	0	0	478023000	3331970	0	18775200	0	0	0	5009630	0	116459000	0	0	31549100	0	0	0	13385900	0	58588600	0	0	463112000	0	65337570	0	4229120	0	0	0	50564900	27484600	0	20239900	0	0	0	0	0	32149900	182333840	304738000	78274000	7698670	0	41470900	0	0	0	0	163006000	0	0	56776200	0	24409700	0	0	0	0	249489000	0	0	0	22895500	0	0	0	0	0	14530400	0	0	0	0	9125280	63936100	0	0	28482000	1324400	0	40735000	0	0	0	0	0	0	7509950	0	0	0	5333560	0	68185900	0	0	7825600	12961800	183935000	13018600	0	149775000	0	0	0	0	12650700	0	0	0	14475200	0	0	0	8626660	0	0	0	9893480	0	532848	0	184358000	0	0	0	4421430	0	7599240	0	0	0	26005600	0	321287000	0	5569200	13720120	151806000	0	0	0	34669000	0	0	0	12577200	0	37026100	0	0	653621	294281000	0	29066200	0	0	26785600	0	45760400	0	0	3699800	0	237236000	0	241702760	0	24315500	0	105841000	285857100	0	0	0	19896430	0	0	0	0	0	30671500	0	0	0	0	0	0	0	53607300	0	0	101231000	0	110055000	0	0	0	51678200	0	0	0	0	0	0	29770800	0	103231000	0	0	53293700	0	146252350	274732000	16093800	2819500	0	56081100	0	0	0	0	0	329329100	0	0	0	0	125493000	75197800	0	0	0	0	0	0	0	0	60453800	123731000	10974200
"\"(R)-4-((8S,9S,10R,13R,14S,17R)-10,13-dimethyl-3-oxo-2,3,6,7,8,9,10,11,12,13,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid\""	373.274	0	55613500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11746700	80097700	0	0	0	0	84361000	13597800	0	0	5033910	0	0	71467200	0	0	0	0	348455000	0	0	0	8073590	16586300	151221000	0	0	154807000	0	0	0	0	0	0	0	0	0	0	0	8997340	37334100	21998000	0	0	0	0	0	0	0	0	0	0	0	0	18140400	0	0	0	0	0	61077500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18776700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38840700	0	0	0	0	0	0	0	0	19213700	0	0	111985000	19812300	0	0	44083800	0	220159000	126937000	0	110060000	0	24033700	0	0	0	0	0	14679300	14979900	0	17830800	0	0	0	0	0	150733000	64237500	50120900	15017900	0	0	0	0	0	0	0	4065030	2805430	0	6855880	0	0	0	0	0	0	0	0	0	0	1861680	0	0	0	0	0	12245300	0	0	0	0	21002500	52162100	0	0	0	27783100	0	8411060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24570900	29730700	0	0	33653900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13474900	0	44566800	0	0	0	77523700	0	0	0	0	0	8995770	0	0	0	7431880	7392910	198266000	0	0	0	25242900	0	0	0	6823810	0	0	0	45067300	0	18679300	0	0	0	123946000	0	4803740	0	0	11734100	0	136158000	0	0	8397310	0	145798000	0	587225000	0	26420000	0	0	0	0	0	143555000	1182860000	0	0	0	0	0	6904740	0	0	0	0	0	0	0	0	0	0	29594500	0	2573890	0	0	0	13998800	0	0	0	0	0	0	9571260	0	19611300	0	0	26176200	0	10423800	0	13617900	0	0	53585600	0	0	0	0	0	21340600	0	0	0	0	0	26254300	0	0	0	0	0	0	6054840	139845000	0	0	0
"deoxycholic acid"	375.289	15336800	26326600	25348519	0	6595260	2336900	41843200	0	5699340	26366901	128506000	0	0	0	26938300	0	0	7527190	0	325574	1152050	30815700	13938700	72784600	16630200	528214	37871600	0	26062160	2024210	0	0	5995360	2575720	5368210	0	13114200	0	8317830	0	94199300	63959300	82215200	0	88138000	5963740	26933990	0	1800470	39804000	0	25969300	22441900	21888200	0	0	0	0	89306400	45541900	1870170	0	46972500	0	8369700	0	0	0	0	10338600	3324290	39648000	80441060	3373820	34042700	28695400	24137430	0	2387050	441974	0	0	0	83700600	0	0	0	5140780	0	70561300	21806940	0	0	2274010	4515540	0	0	0	1269420	10806060	0	1539130	0	5145080	9685766	0	0	0	0	31790060	0	0	0	650675	7225790	0	5954240	0	0	0	0	0	35805880	0	0	33070200	0	17258400	11892100	13593700	1033010	0	593031	0	91849800	0	0	14279500	47282754	1656220	17739500	0	221858	28140600	4660050	132237340	0	0	0	0	10006400	28643214	7648377	0	0	0	0	0	0	0	22805830	0	25651200	249644	0	0	14714344	0	2147320	0	18391900	15013300	0	0	158231525	0	57695800	507471	18268600	0	0	16016888	1660160	0	1183830	0	42909200	0	0	4234260	0	0	0	0	0	1089970	0	20290100	0	13974000	4114910	0	6116720	61273000	17919200	0	0	0	0	1562150	2585820	0	0	0	0	9866360	23626200	0	0	0	93165900	0	0	31305300	0	0	52131000	0	8765070	22660559	610036	0	17579020	6588206	0	9437540	3886810	0	0	0	17363100	0	14562700	47812358	6837380	3632460	39843800	77254700	0	120670250	0	0	66357400	0	941714	40643081	0	54263770	0	0	15396900	6584060	0	869994	0	9073804	4076810	0	11390900	28070980	2483170	0	3125370	44194400	0	103925900	498041	20433392.7	6991270	0	63696035	0	25583360	0	0	6484520	3829190	16450550	0	107945700	0	38549100	0	69624205	17545033	0	0	0	65352800	0	0	11965200	0	0	7112490	2330870	30390000	0	0	0	0	41963000	125856629	0	17595190	656559	0	0	27246000	0	30541200	0	0	0	0	0	73761600	0	0	0	0	475244	0	36402800	551912	5312110	30261980	2913720	45602800	0	5329220	0	0	0	0	0	9564820	0	0	0	0	8154841	0	0	0	0	68682900	0	0	29974600	0	56941331	31405342	0
