Group,AA,GLY,OXO,SUL,TAU,tetra,UNC
X16NAVY14_12_plasma.mzML_1,0,0,0,0,0,0,0
X400_Plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY14_7_plasma.mzML_1,0,1412585,0,0,0,0,0
X16NAVY11_17_plasma.mzML_1,0,2023120,0,0,504710,0,2589870
X15NAVY01_8_plasma.mzML_1,0,2128421,0,0,4981970,0,0
X16NAVY06_5_plasma.mzML_1,0,6233703,0,0,2085700,0,0
X18NAVY28_17_plasma.mzML_1,0,2420289,0,0,0,0,0
X17NAVY22_5_plasma.mzML_1,0,1881350,0,0,0,0,0
X16NAVY08_4_plasma.mzML_1,0,0,0,0,0,0,0
X18NAVY28_14_plasma.mzML_1,0,2163611,0,0,0,0,0
X16NAVY11_14_plasma.mzML_1,0,2844908,0,0,5211590,0,0
X16NAVY11_13_plasma.mzML_1,0,4430270,0,0,1596150,0,0
X16NAVY11_3_plasma.mzML_1,0,3220882,0,0,9816940,0,0
X18NAVY28_5_plasma.mzML_1,0,2386580,0,0,1967175,0,0
X17NAVY22_6_plasma.mzML_1,0,2046259,0,0,0,0,0
X16NAVY11_11_plasma.mzML_1,0,919097,0,0,0,0,0
X338_Plasma.mzML_1,0,954054,0,0,0,0,0
X16NAVY10_5_plasma.mzML_1,0,0,0,0,0,0,0
X372_Plasma.mzML_1,0,1706990,0,0,0,0,0
X16NAVY14_4_plasma.mzML_1,0,0,0,0,0,0,0
X18NAVY28_12_plasma.mzML_1,0,3517499,0,0,0,0,0
X16NAVY14_6_plasma.mzML_1,0,3028570,0,0,0,0,0
X16NAVY14_10_plasma.mzML_1,0,3036609,0,0,0,0,0
X470_Plasma.mzML_1,0,6719998,0,0,1457847,0,0
X382_Plasma_20191118052912.mzML_1,0,6776956,0,0,0,0,0
X16NAVY10_7_plasma.mzML_1,0,2117011,0,0,1061754,0,0
X16NAVY08_11_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY06_18_plasma.mzML_1,0,673854,0,0,0,0,0
X500_Plasma.mzML_1,0,7373843,0,0,2705814,0,0
X16NAVY10_2_plasma.mzML_1,0,794202,0,0,0,0,0
X354_Plasma_20191118032114.mzML_1,0,8788959,0,0,2961405,0,0
X16NAVY14_5_plasma.mzML_1,0,591582,0,0,0,0,0
X15NAVY01_4_plasma.mzML_1,0,694929,0,0,0,0,0
X18NAVY28_18_plasma.mzML_1,0,2093260,0,0,1297780,0,0
X18NAVY28_20_plasma.mzML_1,0,2827359,0,0,0,0,0
X17NAVY22_9_plasma.mzML_1,0,1111864,0,0,0,0,0
X16NAVY11_12_plasma.mzML_1,0,809825,0,0,1307835,0,0
X15NAVY01_3_plasma.mzML_1,0,302822,0,0,11405275,0,0
X16NAVY10_18_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY06_20_plasma.mzML_1,0,3475180,0,0,3269974,0,1126860
X16NAVY06_4_plasma.mzML_1,0,996664,0,0,0,0,0
X16NAVY06_9_plasma.mzML_1,0,1871484,0,0,585800,0,0
X18NAVY28_16_plasma.mzML_1,0,2445429,0,0,1459175,0,0
X18NAVY28_2_plasma.mzML_1,0,2535320,0,0,0,0,0
X16NAVY10_11_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY11_2_plasma.mzML_1,0,2730310,0,0,8637755,0,0
X17NAVY22_11_plasma.mzML_1,0,0,0,0,0,0,0
X16NAVY08_7_plasma.mzML_1,0,1444900,0,0,1036569,0,0
X16NAVY14_11_plasma.mzML_1,0,601883,0,0,0,0,0
X16NAVY11_9_plasma.mzML_1,0,6410350,0,0,3166561,0,0
X16NAVY11_1_plasma.mzML_1,0,706677,0,0,619255,0,0
X16NAVY12_3_plasma.mzML_1,0,5711192,0,0,2969142,0,0
X17NAVY22_7_plasma.mzML_1,0,581167,0,0,2307797,0,0
X16NAVY06_6_plasma.mzML_1,0,5886642,0,0,3596849,0,0
