UNC,GLY,TAU,AA,OXO,SUL,tetra,PlotOrder
0.210024328,0.588362846,0.201612826,0,0,0,0,132
0.210279739,0.466194702,0.323525558,0,0,0,0,133
0.219245908,0.780754092,0,0,0,0,0,134
0.222136008,0.485848227,0.292015765,0,0,0,0,135
0.224481599,0.775518401,0,0,0,0,0,136
0.232853376,0.767146624,0,0,0,0,0,137
0.234603059,0.765396941,0,0,0,0,0,138
0.234871954,0.504868035,0.260260011,0,0,0,0,139
0.237588195,0.762411805,0,0,0,0,0,140
0.239782619,0.760217381,0,0,0,0,0,141
0.24242126,0.521054862,0.236523879,0,0,0,0,142
0.244371118,0.755628882,0,0,0,0,0,143
0.244380024,0.451573236,0.30404674,0,0,0,0,144
0.246450101,0.753549899,0,0,0,0,0,145
0.248318894,0.625562884,0.126118222,0,0,0,0,146
0.24933189,0.75066811,0,0,0,0,0,147
0.249508844,0.750491156,0,0,0,0,0,148
0.251668446,0.630335613,0.117995941,0,0,0,0,149
0.256430659,0.743569341,0,0,0,0,0,150
0.261451963,0.461426206,0.27712183,0,0,0,0,151
0.264588146,0.735411854,0,0,0,0,0,152
0.26605095,0.73394905,0,0,0,0,0,153
0.267444112,0.732555888,0,0,0,0,0,154
0.267478244,0.587737132,0.144784624,0,0,0,0,155
0.268539584,0.731460416,0,0,0,0,0,156
0.269213866,0.730786134,0,0,0,0,0,157
0.269912371,0.730087629,0,0,0,0,0,158
0.270109482,0.729890518,0,0,0,0,0,159
0.274304564,0.549524254,0,0.176171182,0,0,0,160
0.274484866,0.725515134,0,0,0,0,0,161
0.282012434,0.717987566,0,0,0,0,0,162
0.288375987,0.711624013,0,0,0,0,0,163
0.291446817,0.708553183,0,0,0,0,0,164
0.292022845,0.707977155,0,0,0,0,0,165
0.292938047,0.707061953,0,0,0,0,0,166
0.293290723,0.706709277,0,0,0,0,0,167
0.293355803,0.706644197,0,0,0,0,0,168
0.299538205,0.700461795,0,0,0,0,0,169
0.300054129,0.699945871,0,0,0,0,0,170
0.300274598,0.699725402,0,0,0,0,0,171
0.306355323,0.693644677,0,0,0,0,0,172
0.307196814,0.692803186,0,0,0,0,0,173
0.307887651,0.692112349,0,0,0,0,0,174
0.308030609,0.691969391,0,0,0,0,0,175
0.313259413,0.411900464,0.274840124,0,0,0,0,176
0.313710358,0.686289642,0,0,0,0,0,177
0.31397603,0.68602397,0,0,0,0,0,178
0.315601199,0.684398801,0,0,0,0,0,179
0.318337907,0.313026637,0.368635456,0,0,0,0,180
0.322648076,0.677351924,0,0,0,0,0,181
0.326588761,0.673411239,0,0,0,0,0,182
0.328045021,0.671954979,0,0,0,0,0,183
0.33297269,0.66702731,0,0,0,0,0,184
0.333710819,0.236876521,0.42941266,0,0,0,0,185
0.337170651,0.662829349,0,0,0,0,0,186
0.338248092,0.661751908,0,0,0,0,0,187
0.344010682,0.655989318,0,0,0,0,0,188
0.346960127,0.653039873,0,0,0,0,0,189
0.355024818,0.644975182,0,0,0,0,0,190
0.363441718,0.636558282,0,0,0,0,0,191
0.364695455,0.635304545,0,0,0,0,0,192
0.369111075,0.630888925,0,0,0,0,0,193
0.376396573,0.277003124,0.346600303,0,0,0,0,194
0.378968491,0.621031509,0,0,0,0,0,195
0.380660992,0.619339008,0,0,0,0,0,196
0.384524106,0.615475894,0,0,0,0,0,197
0.387955957,0.381527885,0.230516159,0,0,0,0,198
0.3902448,0.6097552,0,0,0,0,0,199
0.391379625,0.608620375,0,0,0,0,0,200
0.396947681,0.603052319,0,0,0,0,0,201
0.402772901,0.597227099,0,0,0,0,0,202
0.404284866,0.595715134,0,0,0,0,0,203
0.412454006,0.48938551,0.098160483,0,0,0,0,204
0.413541222,0.391644645,0.194814133,0,0,0,0,205
0.414339988,0.585660012,0,0,0,0,0,206
0.420946755,0.579053245,0,0,0,0,0,207
0.421167863,0.578832137,0,0,0,0,0,208
0.422539612,0.577460388,0,0,0,0,0,209
0.42665321,0.57334679,0,0,0,0,0,210
0.427456634,0.572543366,0,0,0,0,0,211
0.433532593,0.566467407,0,0,0,0,0,212
0.435034887,0.564965113,0,0,0,0,0,213
0.436181822,0.563818178,0,0,0,0,0,214
0.443408482,0.474562272,0.082029246,0,0,0,0,215
0.457420531,0.441930045,0.100649424,0,0,0,0,216
0.459018226,0.451281819,0.089699954,0,0,0,0,217
0.460553344,0.276685278,0.262761378,0,0,0,0,218
0.468854313,0.531145687,0,0,0,0,0,219
0.477968082,0.522031918,0,0,0,0,0,220
0.480204004,0.519795996,0,0,0,0,0,221
0.480226385,0.519773615,0,0,0,0,0,222
0.483773945,0.516226055,0,0,0,0,0,223
0.485317736,0.290568779,0.224113485,0,0,0,0,224
0.496755325,0.503244675,0,0,0,0,0,225
0.497154094,0.502845906,0,0,0,0,0,226
0.502729042,0.497270958,0,0,0,0,0,227
0.507893633,0.492106367,0,0,0,0,0,228
0.517335548,0.270173559,0.212490893,0,0,0,0,229
0.523259043,0.476740957,0,0,0,0,0,230
0.527841426,0.472158574,0,0,0,0,0,231
0.529468887,0.470531113,0,0,0,0,0,232
0.539506007,0.460493993,0,0,0,0,0,233
0.540528264,0.459471736,0,0,0,0,0,234
0.54373569,0.367735883,0,0.088528427,0,0,0,235
0.547728032,0.452271968,0,0,0,0,0,236
0.547767631,0.452232369,0,0,0,0,0,237
0.548630572,0.451369428,0,0,0,0,0,238
0.559186595,0.440813405,0,0,0,0,0,239
0.564688316,0.435311684,0,0,0,0,0,240
0.569763641,0.430236359,0,0,0,0,0,241
0.571608485,0.428391515,0,0,0,0,0,242
0.574990467,0.425009533,0,0,0,0,0,243
0.583049434,0.416950566,0,0,0,0,0,244
0.586393038,0.413606962,0,0,0,0,0,245
0.589266768,0.410733232,0,0,0,0,0,246
0.591895199,0.408104801,0,0,0,0,0,247
0.594365028,0.405634972,0,0,0,0,0,248
0.595776111,0.404223889,0,0,0,0,0,249
0.606594586,0.393405414,0,0,0,0,0,250
0.607590366,0.172500237,0.219909397,0,0,0,0,251
0.613311522,0.386688478,0,0,0,0,0,252
0.623951211,0.376048789,0,0,0,0,0,253
0.627102503,0.372897497,0,0,0,0,0,254
0.634570801,0.365429199,0,0,0,0,0,255
0.637850096,0.362149904,0,0,0,0,0,256
0.638022278,0.361977722,0,0,0,0,0,257
0.641834945,0.358165055,0,0,0,0,0,258
0.651243593,0.348756407,0,0,0,0,0,259
0.654534382,0.345465618,0,0,0,0,0,260
0.659398749,0.340601251,0,0,0,0,0,261
0.665014294,0.334985706,0,0,0,0,0,262
0.670017506,0.169660677,0.160321817,0,0,0,0,263
0.693479314,0.191267725,0.115252961,0,0,0,0,264
0.695279112,0.304720888,0,0,0,0,0,265
0.703190666,0.296809334,0,0,0,0,0,266
0.710794702,0.289205298,0,0,0,0,0,267
0.712958767,0.287041233,0,0,0,0,0,268
0.714927965,0.285072035,0,0,0,0,0,269
0.730323028,0.269676972,0,0,0,0,0,270
0.735573009,0.264426991,0,0,0,0,0,271
0.743085186,0.256914814,0,0,0,0,0,272
0.748046462,0.251953538,0,0,0,0,0,273
0.749327735,0.250672265,0,0,0,0,0,274
0.760329009,0.239670991,0,0,0,0,0,275
0.762974838,0.237025162,0,0,0,0,0,276
0.775894441,0.224105559,0,0,0,0,0,277
0.776154279,0.223845721,0,0,0,0,0,278
0.78408811,0.21591189,0,0,0,0,0,279
0.832211909,0.167788091,0,0,0,0,0,280
0.842334914,0.157665086,0,0,0,0,0,281
0.854441219,0.145558781,0,0,0,0,0,282
0.854930682,0.145069318,0,0,0,0,0,283
0.915591111,0.084408889,0,0,0,0,0,284
0.933156609,0.066843391,0,0,0,0,0,285
0.970635833,0.029364167,0,0,0,0,0,286
1,0,0,0,0,0,0,287
1,0,0,0,0,0,0,288
1,0,0,0,0,0,0,289
1,0,0,0,0,0,0,290
